,SeasonMinTemp,SeasonMaxTemp,MeanTemp,DeltaTemp,pH,DisolvedOxigen,Conductivity,Season,Locality
Ssum1,4.07,14.88,11.67,10.18,7.96,70.5,131,Summer,Sehuayan
Ssum2,4.07,14.88,11.67,10.18,7.82,69.9,134,Summer,Sehuayan
Ssum3,4.07,14.88,11.67,10.18,7.62,74.9,107,Summer,Sehuayan
LSsum1,2.27,14.28,9.858,12.01,7.81,79.2,83,Summer,LagunaSeca
LSsum2,2.27,14.28,9.858,12.01,7.53,78.7,81,Summer,LagunaSeca
LSsum3,2.27,14.28,9.858,12.01,7.53,79.2,81,Summer,LagunaSeca
Osum1,3.47,18.53,11.52,17.63,6.69,71.8,83,Summer,Organillos
Osum2,3.47,18.53,11.52,17.63,6.92,75.2,89,Summer,Organillos
Osum3,3.47,18.53,11.52,17.63,6.98,77.2,89,Summer,Organillos
Tsum1,7.2,12.65,10.37,5.45,6.99,85.7,64,Summer,Tecpan
Tsum2,7.2,12.65,10.37,5.45,7.02,87.1,64,Summer,Tecpan
Tsum3,7.2,12.65,10.37,5.45,7,87.1,64,Summer,Tecpan
LSaut1,3.13,14.88,8.621,11.75,6.99,104,61,Autumn,LagunaSeca
LSaut2,3.13,14.88,8.621,11.75,6.99,98.8,62,Autumn,LagunaSeca
LSaut3,3.13,14.88,8.621,11.75,7.07,106.8,62,Autumn,LagunaSeca
Saut1,6.65,14.75,10.58,8.1,7.12,108.3,114,Autumn,Sehuayan
Saut2,6.65,14.75,10.58,8.1,7.47,105.9,114,Autumn,Sehuayan
Saut3,6.65,14.75,10.58,8.1,7.36,112.4,114,Autumn,Sehuayan
Oaut1,5.75,16.94,9.75,11.19,6.56,100.2,96,Autumn,Organillos
Oaut2,5.75,16.94,9.75,11.19,6.68,104.2,93,Autumn,Organillos
Oaut3,5.75,16.94,9.75,11.19,6.66,106.6,48,Autumn,Organillos
Taut1,4.84,12.1,8.961,7.26,6.58,102.3,58,Autumn,Tecpan
Taut2,4.84,12.1,8.961,7.26,6.69,102.7,58,Autumn,Tecpan
Taut3,4.84,12.1,8.961,7.26,6.71,103.3,59,Autumn,Tecpan
Swin1,6.26,13.34,8.81,5.92,7.32,87,140,Winter,Sehuayan
Swin2,6.26,13.34,8.81,5.92,7.43,88.3,140,Winter,Sehuayan
Swin3,6.26,13.34,8.81,5.92,7.5,88.5,105,Winter,Sehuayan
Owin1,5.36,14.8,8.483,9.44,7.16,93.3,90,Winter,Organillos
Owin2,5.36,14.8,8.483,9.44,7.04,90.3,90,Winter,Organillos
Owin3,5.36,14.8,8.483,9.44,6.95,89.3,91,Winter,Organillos
LSwin1,2.14,10.59,5.455,7.08,7.19,93.7,80,Winter,LagunaSeca
LSwin2,2.14,10.59,5.455,7.08,7.03,90.7,75,Winter,LagunaSeca
LSwin3,2.14,10.59,5.455,7.08,7.23,89.7,73,Winter,LagunaSeca
Twin1,4.89,9.74,7.361,4.85,6.65,88.7,62,Winter,Tecpan
Twin2,4.89,9.74,7.361,4.85,6.6,89.5,61,Winter,Tecpan
Twin3,4.89,9.74,7.361,4.85,6.64,87.3,59,Winter,Tecpan
Ospr1,5.06,15.36,10.72,13.82,7.16,102.5,92,Spring,Organillos
Ospr2,5.06,15.36,10.72,13.82,7.3,97.9,92,Spring,Organillos
Ospr3,5.06,15.36,10.72,13.82,7.05,101.7,93,Spring,Organillos
Sspr1,7.5,14.67,10.9,7.73,7.65,109.2,163,Spring,Sehuayan
Sspr2,7.5,14.67,10.9,7.73,7.62,104.2,109,Spring,Sehuayan
Sspr3,7.5,14.67,10.9,7.73,7.63,107.1,109,Spring,Sehuayan
LSspr1,4.84,9.74,7.59,10.299,7.85,111.8,77,Spring,LagunaSeca
LSspr2,4.84,9.74,7.59,10.299,7.54,111.5,79,Spring,LagunaSeca
LSspr3,4.84,9.74,7.59,10.299,7.22,104.4,88,Spring,LagunaSeca
Tspr1,8.71,12.61,10.7,0.55,8.25,91,69,Spring,Tecpan
Tspr2,8.71,12.61,10.7,0.55,7.54,93.9,67,Spring,Tecpan
Tspr3,8.71,12.61,10.7,0.55,7.24,90.9,66,Spring,Tecpan
